count,signal,attention,meditation,delta,theta,lalpha,hapha,lbeta,hbeta,lgamma,hgamma
22,51,93,27,54.7089004516602,17.4850997924805,2.06579995155334,1.55980002880096,1.59839999675751,1.6172000169754,0.298099994659424,4.57539987564087
23,51,93,27,226.57829284668,14.3099002838135,1.23140001296997,1.94790005683899,1.41620004177094,0.648999989032745,0.286799997091293,1.89569997787476
24,0,83,35,133.754806518555,2.11249995231628,0.181999996304512,2.20250010490417,1.73489999771118,0.253699988126755,0.117200002074242,6.46519994735718
25,0,60,47,31.9029006958008,7.95499992370605,2.5789999961853,1.05579996109009,1.1224000453949,0.728100001811981,0.158800005912781,13.296799659729
26,0,48,54,284.690093994141,93.4833984375,27.6166000366211,20.0091991424561,6.81489992141724,14.1330995559692,2.35999989509583,202.577194213867
27,0,41,64,207.037796020508,36.3754997253418,5.79640007019043,16.7686004638672,11.855299949646,2.75189995765686,0.884599983692169,58.0817985534668
28,0,41,54,127.83740234375,44.6405982971191,3.207200050354,6.9293999671936,2.67129993438721,3.10500001907349,0.49439999461174,62.3619003295898
29,0,50,53,91.190803527832,7.58279991149902,2.31459999084473,0.961600005626678,1.00559997558594,1.646399974823,0.20610000193119,15.3803997039795
30,0,48,56,166.757202148438,13.539400100708,5.30100011825562,6.11450004577637,3.0158998966217,2.4475998878479,0.877699971199036,58.0966987609863
31,0,57,54,50.7988014221191,42.5311012268066,20.3355007171631,0.753000020980835,1.97560000419617,7.45529985427856,0.869499981403351,60.8158988952637
32,0,63,75,105.826400756836,21.0084991455078,30.8518009185791,3.61199998855591,3.10430002212524,5.68510007858276,0.603399991989136,62.3199996948242
33,0,60,77,135.016494750977,20.8412990570068,9.74190044403076,1.59650003910065,2.93860006332397,3.6168999671936,0.79339998960495,60.3608016967773
34,0,61,75,40.5294990539551,3.88980007171631,0.813799977302551,2.80690002441406,1.50010001659393,0.917800009250641,0.252999991178513,12.932900428772
35,0,60,75,94.0584030151367,25.8826007843018,9.12689971923828,3.65599989891052,3.82159996032715,3.29250001907349,1.79069995880127,56.6198997497559
36,0,54,63,41.9410018920898,37.9143981933594,8.06799983978271,7.7726001739502,0.95389997959137,3.34500002861023,1.72150003910065,55.5797996520996
37,0,43,64,89.3375015258789,35.8120002746582,9.53250026702881,9.53279972076416,1.87699997425079,1.88139998912811,0.316599994897842,51.9086990356445
38,0,40,60,23.095100402832,10.3156003952026,1.57729995250702,2.98810005187988,0.740700006484985,1.25919997692108,0.280200004577637,12.078200340271
39,0,30,60,76.6052017211914,8.42010021209717,1.85730004310608,1.55159997940063,0.460900008678436,0.421499997377396,0.218199998140335,10.9308996200562
40,51,30,60,19.9423999786377,2.88730001449585,0.879999995231628,1.60930001735687,1.28320002555847,0.702700018882751,0.36829999089241,0.480599999427795
41,51,30,60,13.6015996932983,0.851300001144409,0.267100006341934,0.31470000743866,0.14360000193119,0.166400000452995,6.47E-02,0.205799996852875
42,0,40,74,17.4881000518799,1.16879999637604,1.95239996910095,0.51230001449585,0.414700001478195,0.560000002384186,8.38E-02,2.11700010299683
43,0,44,66,76.3992004394531,40.9822998046875,11.9624996185303,0.908699989318848,4.16440010070801,3.48049998283386,0.627499997615814,62.9640007019043
44,0,48,70,133.467300415039,40.0531997680664,26.5384998321533,2.24060010910034,2.48629999160767,7.48920011520386,0.552200019359589,86.4200973510742
45,0,63,57,186.480804443359,64.0289993286133,8.45839977264404,1.34159994125366,7.94059991836548,11.8373003005981,1.7389999628067,108.010696411133
46,0,60,54,140.563507080078,30.9237995147705,22.7987995147705,10.9060001373291,3.25460004806519,6.49620008468628,0.580299973487854,101.497802734375
47,0,63,61,181.585800170898,60.380298614502,19.7786998748779,14.9028997421265,2.53250002861023,9.55650043487549,0.584399998188019,105.080299377441
48,0,63,70,54.3623008728027,25.7451992034912,39.7428016662598,2.89499998092651,2.41179990768433,7.52360010147095,0.515200018882751,102.343803405762
49,0,78,74,13.6606998443604,4.79990005493164,0.589399993419647,0.983500003814697,0.430599987506866,6.77159976959229,0.350699990987778,24.9783000946045
50,0,80,81,168.26579284668,25.6165008544922,66.1210021972656,4.54990005493164,2.05469989776611,14.7746000289917,0.632300019264221,99.2717971801758
51,25,80,81,106.995903015137,8.65480041503906,4.97410011291504,4.32910013198853,2.3856999874115,0.894500017166138,0.429199993610382,1.33430004119873
52,0,70,77,7.71920013427734,3.25620007514954,0.412999987602234,0.774999976158142,0.252400010824203,0.204300001263618,0.103399999439716,4.21700000762939
53,0,69,60,187.812698364258,50.8667984008789,16.9540996551514,1.60899996757507,1.32700002193451,8.61130046844482,0.700500011444092,76.9282989501953
54,0,48,81,125.943496704102,4.12319993972778,4.71379995346069,0.292499989271164,0.760299980640411,0.73360002040863,0.940400004386902,11.6303997039795
55,0,43,78,208.018905639648,9.05850028991699,1.98500001430511,11.7426996231079,1.21689999103546,1.89880001544952,1.14269995689392,50.3810997009277
56,0,44,74,127.527801513672,53.442699432373,9.2524995803833,3.38969993591309,5.82870006561279,4.80889987945557,1.44249999523163,54.2056999206543
57,0,47,67,116.489303588867,31.5813007354736,3.39179992675781,4.63870000839233,3.45659995079041,5.51240015029907,0.43419998884201,56.4010009765625
58,0,54,56,193.691497802734,19.6881008148193,6.34130001068115,3.10829997062683,1.82809996604919,6.1181001663208,0.747500002384186,43.3400993347168
59,0,50,44,51.1678009033203,58.7159996032715,10.1028995513916,15.9090995788574,1.48539996147156,4.23150014877319,0.868900001049042,49.2620010375977
60,0,54,51,28.8265991210938,27.2061004638672,10.2251996994019,3.25999999046326,5.85109996795654,5.08769989013672,3.65019989013672,50.2182006835938
61,0,57,51,81.5015029907227,23.5028991699219,1.48790001869202,5.41319990158081,7.11600017547607,5.52589988708496,1.28540003299713,43.9575996398926
62,0,53,50,69.4316024780273,21.4036998748779,1.8914999961853,6.20749998092651,2.99110007286072,3.85430002212524,0.92739999294281,47.0942993164062
63,0,57,51,12.1063995361328,5.93860006332397,2.89170002937317,0.926100015640259,0.750400006771088,0.832599997520447,0.288800001144409,11.8570003509521
64,0,54,43,79.4747009277344,36.8723983764648,3.26600003242493,4.51340007781982,3.20659995079041,3.49160003662109,0.926800012588501,55.8806991577148
65,25,54,43,33.2863006591797,5.76520013809204,1.42809998989105,1.88820004463196,0.555499970912933,0.653400003910065,0.599300026893616,5.87260007858276
66,25,54,43,97.0995025634766,1.86629998683929,9.04E-02,0.577400028705597,0.363599985837936,0.231600001454353,5.23E-02,1.44439995288849
67,0,50,53,155.126205444336,8.71770000457764,2.87630009651184,3.19029998779297,1.53069996833801,1.4371999502182,0.313100010156631,13.4483003616333
68,51,50,53,179.269393920898,168.607406616211,21.3495998382568,5.37249994277954,2.36910009384155,3.68700003623962,1.35520005226135,18.1728000640869
69,0,47,66,65.7904968261719,3.46849989891052,1.71119999885559,2.46720004081726,0.843699991703033,0.61599999666214,0.134800001978874,2.894700050354
70,51,47,66,26.5694007873535,0.344900012016296,0.511300027370453,1.15659999847412,1.04789996147156,0.535099983215332,0.621599972248077,0.293099999427795
71,0,48,74,19.985200881958,0.670400023460388,0.694700002670288,0.235400006175041,0.176599994301796,0.205400004982948,8.78E-02,0.240600004792213
72,25,48,74,120.334602355957,13.8670997619629,4.83970022201538,5.69399976730347,5.55030012130737,3.5864999294281,1.51979994773865,1.2360999584198
73,0,57,87,258.275085449219,16.9293994903564,13.4546003341675,4.56489992141724,4.72510004043579,7.66690015792847,0.434300005435944,45.5992012023926
74,0,56,80,170.330596923828,47.8259010314941,5.68569993972778,12.194299697876,13.7298002243042,5.52920007705688,5.42500019073486,158.647506713867
75,0,54,64,173.223693847656,170.393997192383,33.1001014709473,15.9031000137329,13.1618995666504,14.9291000366211,1.28659999370575,142.80419921875
76,0,54,67,7.07439994812012,1.43009996414185,2.25340008735657,0.885800004005432,0.6317999958992,0.679300010204315,0.206799998879433,10.3479995727539
77,0,38,61,23.1320991516113,25.5447998046875,7.68529987335205,3.59829998016357,2.94950008392334,1.230299949646,0.789900004863739,38.5147018432617
78,0,37,69,121.761100769043,23.5466995239258,4.38759994506836,8.89620018005371,2.17969989776611,2.27609992027283,0.676800012588501,40.6380004882812
79,0,34,74,338.839111328125,193.753295898438,52.584098815918,17.1912994384766,23.1000995635986,14.0805997848511,2.11879992485046,184.846496582031
80,0,21,43,145.770202636719,59.5088005065918,1.54900002479553,4.44570016860962,2.46860003471375,2.4886999130249,1.02769994735718,38.8237991333008
81,0,30,43,38.5075988769531,30.3726005554199,9.77379989624023,3.33089995384216,2.48280000686646,4.04869985580444,0.482499986886978,54.2335014343262
82,0,40,44,191.217300415039,11.9996004104614,6.17199993133545,4.14909982681274,2.03080010414124,3.99970006942749,0.43189999461174,54.6943016052246
83,0,48,48,16.0323009490967,3.72309994697571,1.59239995479584,0.821799993515015,0.818400025367737,0.784200012683868,0.139200001955032,11.421199798584
